start_punt,eind_punt,gebruiken,project_id,afstand,hoogteverschil,meetdatum,std_afw_dh_a,std_afw_dh_b,std_afw_dh_c,,,,,,
017E0037,ZOU0000016,1,189W63-ZOU,420,-0.1926,01/01/1978,0,1.07,0,,,,,,
017E0037,ZOU0000025,1,189W63-ZOU,356,-1.0975,01/01/1978,0,1.07,0,,,,,,
017E0039,017E0091,1,189W63-ZOU,450,-0.9808,01/01/1978,0,1.07,0,,,,,,
017E0039,ZOU0000001,1,189W63-ZOU,430,-1.1802,01/01/1978,0,1.07,0,,,,,,
017E0039,ZOU0000025,1,189W63-ZOU,890,-2.3289,01/01/1978,0,1.07,0,,,,,,
017E0040,017E0049,1,189W63-ZOU,750,-0.2334,01/01/1978,0,1.07,0,,,,,,
017E0040,017E0091,1,189W63-ZOU,440,0.9878,01/01/1978,0,1.07,0,,,,,,
017E0041,ZOU0000004,1,189W63-ZOU,354,-0.4482,01/01/1978,0,1.07,0,,,,,,
017E0041,ZOU0000005,1,189W63-ZOU,320,-0.455,01/01/1978,0,1.07,0,,,,,,
017E0041,ZOU0000023,1,189W63-ZOU,594,0.2127,01/01/1978,0,1.07,0,,,,,,
017E0042,017E0092,1,189W63-ZOU,640,-0.5702,01/01/1978,0,1.07,0,,,,,,
017E0042,ZOU0000005,1,189W63-ZOU,332,0.1553,01/01/1978,0,1.07,0,,,,,,
017E0042,ZOU0000011,1,189W63-ZOU,430,-2.0983,01/01/1978,0,1.07,0,,,,,,
017E0043,017E0045,1,189W63-ZOU,500,-0.3085,01/01/1978,0,1.07,0,,,,,,
017E0043,017E0092,1,189W63-ZOU,640,0.4803,01/01/1978,0,1.07,0,,,,,,
017E0043,ZOU0000010,1,189W63-ZOU,650,-1.1438,01/01/1978,0,1.07,0,,,,,,
017E0043,ZOU0000028,1,189W63-ZOU,420,-1.5331,01/01/1978,0,1.07,0,,,,,,
017E0045,017E0043,1,189W63-ZOU,500,0.3078,01/01/1978,0,1.07,0,,,,,,
017E0045,017E0090,1,189W63-ZOU,828,-0.4955,01/01/1978,0,1.07,0,,,,,,
017E0045,017E0094,1,189W63-ZOU,1070,-1.0552,01/01/1978,0,1.07,0,,,,,,
017E0048,017E0049,1,189W63-ZOU,1020,-0.1742,01/01/1978,0,1.07,0,,,,,,
017E0049,017E0040,1,189W63-ZOU,750,0.2329,01/01/1978,0,1.07,0,,,,,,
017E0049,017E0048,1,189W63-ZOU,1020,0.1751,01/01/1978,0,1.07,0,,,,,,
017E0050,017E0051,1,189W63-ZOU,60,0.6976,01/01/1978,0,1.07,0,,,,,,
017E0050,017E0094,1,189W63-ZOU,1090,1.2172,01/01/1978,0,1.07,0,,,,,,
017E0051,017E0050,1,189W63-ZOU,60,-0.6978,01/01/1978,0,1.07,0,,,,,,
017E0051,017E0052,1,189W63-ZOU,590,0.8776,01/01/1978,0,1.07,0,,,,,,
017E0052,017E0051,1,189W63-ZOU,590,-0.879,01/01/1978,0,1.07,0,,,,,,
017E0052,017E0093,1,189W63-ZOU,1080,2.567,01/01/1978,0,1.07,0,,,,,,
017E0055,017E0093,1,189W63-ZOU,800,-0.0011,01/01/1978,0,1.07,0,,,,,,
017E0063,ZOU0000003,1,189W63-ZOU,640,0.7651,01/01/1978,0,1.07,0,,,,,,
017E0063,ZOU0000004,1,189W63-ZOU,360,-2.0713,01/01/1978,0,1.07,0,,,,,,
017E0063,ZOU0000024,1,189W63-ZOU,692,-0.1671,01/01/1978,0,1.07,0,,,,,,
017E0063,ZOU0000030,1,189W63-ZOU,1070,-2.465,01/01/1978,0,1.07,0,,,,,,
017E0086,ZOU0000008,1,189W63-ZOU,474,-2.9473,01/01/1978,0,1.07,0,,,,,,
017E0086,ZOU0000014,1,189W63-ZOU,750,-1.0705,01/01/1978,0,1.07,0,,,,,,
017E0086,ZOU0000015,1,189W63-ZOU,850,0.88,01/01/1978,0,1.07,0,,,,,,
017E0089,ZOU0000007,1,189W63-ZOU,480,-2.0464,01/01/1978,0,1.07,0,,,,,,
017E0089,ZOU0000008,1,189W63-ZOU,430,-1.2063,01/01/1978,0,1.07,0,,,,,,
017E0089,ZOU0000009,1,189W63-ZOU,630,-0.7269,01/01/1978,0,1.07,0,,,,,,
017E0089,ZOU0000029,1,189W63-ZOU,650,-1.8343,01/01/1978,0,1.07,0,,,,,,
017E0090,017E0045,1,189W63-ZOU,828,0.4952,01/01/1978,0,1.07,0,,,,,,
017E0090,ZOU0000006,1,189W63-ZOU,480,-1.2301,01/01/1978,0,1.07,0,,,,,,
017E0091,017E0039,1,189W63-ZOU,450,0.9792,01/01/1978,0,1.07,0,,,,,,
017E0091,017E0040,1,189W63-ZOU,440,-0.9883,01/01/1978,0,1.07,0,,,,,,
017E0091,ZOU0000003,1,189W63-ZOU,500,0.2807,01/01/1978,0,1.07,0,,,,,,
017E0092,017E0042,1,189W63-ZOU,640,0.5693,01/01/1978,0,1.07,0,,,,,,
017E0092,017E0043,1,189W63-ZOU,640,-0.4816,01/01/1978,0,1.07,0,,,,,,
017E0093,017E0052,1,189W63-ZOU,1080,-2.5662,01/01/1978,0,1.07,0,,,,,,
017E0093,017E0055,1,189W63-ZOU,800,0.0011,01/01/1978,0,1.07,0,,,,,,
017E0094,017E0045,1,189W63-ZOU,1070,1.055,01/01/1978,0,1.07,0,,,,,,
017E0094,017E0050,1,189W63-ZOU,1090,-1.2171,01/01/1978,0,1.07,0,,,,,,
ZOU0000001,017E0039,1,189W63-ZOU,430,1.1791,01/01/1978,0,1.07,0,,,,,,
ZOU0000001,ZOU0000002,1,189W63-ZOU,470,1.3179,01/01/1978,0,1.07,0,,,,,,
ZOU0000001,ZOU0000021,1,189W63-ZOU,330,-0.9819,01/01/1978,0,1.07,0,,,,,,
ZOU0000001,ZOU0000024,1,189W63-ZOU,450,-0.4517,01/01/1978,0,1.07,0,,,,,,
ZOU0000002,ZOU0000001,1,189W63-ZOU,470,-1.3171,01/01/1978,0,1.07,0,,,,,,
ZOU0000002,ZOU0000003,1,189W63-ZOU,300,-0.8359,01/01/1978,0,1.07,0,,,,,,
ZOU0000003,017E0063,1,189W63-ZOU,640,-0.7662,01/01/1978,0,1.07,0,,,,,,
ZOU0000003,017E0091,1,189W63-ZOU,500,-0.2812,01/01/1978,0,1.07,0,,,,,,
ZOU0000003,ZOU0000002,1,189W63-ZOU,300,0.8371,01/01/1978,0,1.07,0,,,,,,
ZOU0000004,017E0041,1,189W63-ZOU,354,0.4484,01/01/1978,0,1.07,0,,,,,,
ZOU0000004,017E0063,1,189W63-ZOU,360,2.0718,01/01/1978,0,1.07,0,,,,,,
ZOU0000005,017E0041,1,189W63-ZOU,320,0.4545,01/01/1978,0,1.07,0,,,,,,
ZOU0000005,017E0042,1,189W63-ZOU,332,-0.155,01/01/1978,0,1.07,0,,,,,,
ZOU0000005,ZOU0000012,1,189W63-ZOU,574,0.0297,01/01/1978,0,1.07,0,,,,,,
ZOU0000005,ZOU0000027,1,189W63-ZOU,500,-1.2804,01/01/1978,0,1.07,0,,,,,,
ZOU0000006,017E0090,1,189W63-ZOU,480,1.2304,01/01/1978,0,1.07,0,,,,,,
ZOU0000006,ZOU0000007,1,189W63-ZOU,424,0.0938,01/01/1978,0,1.07,0,,,,,,
ZOU0000007,017E0089,1,189W63-ZOU,480,2.047,01/01/1978,0,1.07,0,,,,,,
ZOU0000007,ZOU0000006,1,189W63-ZOU,424,-0.0932,01/01/1978,0,1.07,0,,,,,,
ZOU0000008,017E0086,1,189W63-ZOU,474,2.9464,01/01/1978,0,1.07,0,,,,,,
ZOU0000008,017E0089,1,189W63-ZOU,430,1.2056,01/01/1978,0,1.07,0,,,,,,
ZOU0000009,017E0089,1,189W63-ZOU,630,0.7263,01/01/1978,0,1.07,0,,,,,,
ZOU0000009,ZOU0000010,1,189W63-ZOU,560,-0.5235,01/01/1978,0,1.07,0,,,,,,
ZOU0000009,ZOU0000011,1,189W63-ZOU,550,-0.4297,01/01/1978,0,1.07,0,,,,,,
ZOU0000009,ZOU0000013,1,189W63-ZOU,530,1.0288,01/01/1978,0,1.07,0,,,,,,
ZOU0000010,017E0043,1,189W63-ZOU,650,1.1436,01/01/1978,0,1.07,0,,,,,,
ZOU0000010,ZOU0000009,1,189W63-ZOU,560,0.5233,01/01/1978,0,1.07,0,,,,,,
ZOU0000011,017E0042,1,189W63-ZOU,430,2.0992,01/01/1978,0,1.07,0,,,,,,
ZOU0000011,ZOU0000009,1,189W63-ZOU,550,0.4284,01/01/1978,0,1.07,0,,,,,,
ZOU0000012,ZOU0000005,1,189W63-ZOU,574,-0.0302,01/01/1978,0,1.07,0,,,,,,
ZOU0000012,ZOU0000013,1,189W63-ZOU,350,-0.8252,01/01/1978,0,1.07,0,,,,,,
ZOU0000013,ZOU0000009,1,189W63-ZOU,530,-1.0281,01/01/1978,0,1.07,0,,,,,,
ZOU0000013,ZOU0000012,1,189W63-ZOU,350,0.8251,01/01/1978,0,1.07,0,,,,,,
ZOU0000013,ZOU0000014,1,189W63-ZOU,520,0.3681,01/01/1978,0,1.07,0,,,,,,
ZOU0000013,ZOU0000022,1,189W63-ZOU,560,1.2858,01/01/1978,0,1.07,0,,,,,,
ZOU0000014,017E0086,1,189W63-ZOU,750,1.0695,01/01/1978,0,1.07,0,,,,,,
ZOU0000014,ZOU0000013,1,189W63-ZOU,520,-0.3681,01/01/1978,0,1.07,0,,,,,,
ZOU0000014,ZOU0000018,1,189W63-ZOU,610,1.5286,01/01/1978,0,1.07,0,,,,,,
ZOU0000015,017E0086,1,189W63-ZOU,850,-0.8797,01/01/1978,0,1.07,0,,,,,,
ZOU0000015,ZOU0000016,1,189W63-ZOU,414,0.5952,01/01/1978,0,1.07,0,,,,,,
ZOU0000015,ZOU0000017,1,189W63-ZOU,400,-1.2198,01/01/1978,0,1.07,0,,,,,,
ZOU0000016,017E0037,1,189W63-ZOU,420,0.1932,01/01/1978,0,1.07,0,,,,,,
ZOU0000016,ZOU0000015,1,189W63-ZOU,414,-0.5957,01/01/1978,0,1.07,0,,,,,,
ZOU0000017,ZOU0000015,1,189W63-ZOU,400,1.2196,01/01/1978,0,1.07,0,,,,,,
ZOU0000017,ZOU0000018,1,189W63-ZOU,680,0.7999,01/01/1978,0,1.07,0,,,,,,
ZOU0000018,ZOU0000014,1,189W63-ZOU,610,-1.5295,01/01/1978,0,1.07,0,,,,,,
ZOU0000018,ZOU0000017,1,189W63-ZOU,680,-0.7997,01/01/1978,0,1.07,0,,,,,,
ZOU0000018,ZOU0000019,1,189W63-ZOU,450,0.7425,01/01/1978,0,1.07,0,,,,,,
ZOU0000019,ZOU0000018,1,189W63-ZOU,450,-0.7422,01/01/1978,0,1.07,0,,,,,,
ZOU0000019,ZOU0000020,1,189W63-ZOU,520,0.4613,01/01/1978,0,1.07,0,,,,,,
ZOU0000019,ZOU0000025,1,189W63-ZOU,540,-0.6311,01/01/1978,0,1.07,0,,,,,,
ZOU0000020,ZOU0000019,1,189W63-ZOU,520,-0.4608,01/01/1978,0,1.07,0,,,,,,
ZOU0000020,ZOU0000021,1,189W63-ZOU,320,-0.9236,01/01/1978,0,1.07,0,,,,,,
ZOU0000021,ZOU0000001,1,189W63-ZOU,330,0.982,01/01/1978,0,1.07,0,,,,,,
ZOU0000021,ZOU0000020,1,189W63-ZOU,320,0.9231,01/01/1978,0,1.07,0,,,,,,
ZOU0000021,ZOU0000022,1,189W63-ZOU,480,-0.8897,01/01/1978,0,1.07,0,,,,,,
ZOU0000022,ZOU0000013,1,189W63-ZOU,560,-1.2853,01/01/1978,0,1.07,0,,,,,,
ZOU0000022,ZOU0000021,1,189W63-ZOU,480,0.8897,01/01/1978,0,1.07,0,,,,,,
ZOU0000022,ZOU0000023,1,189W63-ZOU,330,0.1778,01/01/1978,0,1.07,0,,,,,,
ZOU0000023,017E0041,1,189W63-ZOU,594,-0.2133,01/01/1978,0,1.07,0,,,,,,
ZOU0000023,ZOU0000022,1,189W63-ZOU,330,-0.1777,01/01/1978,0,1.07,0,,,,,,
ZOU0000024,017E0063,1,189W63-ZOU,692,0.1672,01/01/1978,0,1.07,0,,,,,,
ZOU0000024,ZOU0000001,1,189W63-ZOU,450,0.451,01/01/1978,0,1.07,0,,,,,,
ZOU0000025,017E0037,1,189W63-ZOU,356,1.0976,01/01/1978,0,1.07,0,,,,,,
ZOU0000025,017E0039,1,189W63-ZOU,890,2.3307,01/01/1978,0,1.07,0,,,,,,
ZOU0000025,ZOU0000019,1,189W63-ZOU,540,0.6302,01/01/1978,0,1.07,0,,,,,,
ZOU0000027,ZOU0000005,1,189W63-ZOU,500,1.2812,01/01/1978,0,1.07,0,,,,,,
ZOU0000027,ZOU0000030,1,189W63-ZOU,430,0.8955,01/01/1978,0,1.07,0,,,,,,
ZOU0000028,017E0043,1,189W63-ZOU,420,1.5325,01/01/1978,0,1.07,0,,,,,,
ZOU0000028,ZOU0000029,1,189W63-ZOU,410,-0.1926,01/01/1978,0,1.07,0,,,,,,
ZOU0000029,017E0089,1,189W63-ZOU,650,1.8345,01/01/1978,0,1.07,0,,,,,,
ZOU0000029,ZOU0000028,1,189W63-ZOU,410,0.1927,01/01/1978,0,1.07,0,,,,,,
ZOU0000030,017E0063,1,189W63-ZOU,1070,2.4647,01/01/1978,0,1.07,0,,,,,,
ZOU0000030,ZOU0000027,1,189W63-ZOU,430,-0.8955,01/01/1978,0,1.07,0,,,,,,